Probe_name,Mature_MiRNA
hsa-mir-034precNo1,hsa-miR-34a
hsa-mir-092-prec-X=092-2,hsa-miR-92a
hsa-mir-096-prec-7No2,hsa-miR-96
hsa-mir-123-precNo1,hsa-miR-126*
hsa-mir-124a-3-prec,hsa-mir-124-1
hsa-mir-125b-2-precNo1,hsa-miR-125b-2*
hsa-mir-134-precNo2,hsa-miR-134
hsa-mir-136-precNo2,hsa-miR-136
hsa-mir-152-precNo1,hsa-miR-152
hsa-mir-153-2-prec,hsa-miR-153
hsa-mir-181a-precNo1,hsa-miR-181a
hsa-mir-1-1No1,hsa-miR-1
hsa-mir-200cNo1,hsa-miR-200c
hsa-mir-340No1,hsa-miR-340*
hsa-mir-373No1,hsa-miR-373
hsa-mir-302bNo2,hsa-miR-302b*
hsa-mir-515-13p,hsa-miR-515-3p
hsa-mir-518c,hsa-miR-518c
hsa-mir-518e,hsa-miR-518e
hsa-mir-099-prec-21,hsa-miR-99a
hsa-mir-101-prec-9,hsa-miR-101
hsa-mir-105-prec-X.1=105-1,hsa-miR-105
hsa-mir-128a-precNo2,hsa-miR-128
hsa-mir-129-precNo2,hsa-miR-129*
hsa-mir-132-precNo2,hsa-miR-132*
hsa-mir-144-precNo2,hsa-miR-144*
hsa-mir-148-prec,hsa-miR-148a
hsa-mir-181c-precNo1,hsa-miR-181c
hsa-mir-183-precNo1,hsa-miR-183
hsa-mir-185-precNo1,hsa-miR-185
hsa-mir-302bNo1,hsa-miR-302b
hsa-mir-200cNo2,hsa-miR-200c*
hsa-mir-340No2,hsa-miR-340
hsa-mir-373No2,hsa-miR-373*
hsa-mir-500No2,hsa-mir-500
hsa-mir-502No2,hsa-miR-502-3p
hsa-mir-510No2,hsa-miR-502-3p
hsa-mir-516-33p,hsa-miR-516b*
hsa-mir-517a,hsa-miR-517a
hsa-mir-517c,hsa-miR-517c
hsa-mir-519a-1,hsa-miR-519a
hsa-mir-519b,hsa-miR-519c-5p
hsa-let-7b-prec,hsa-let-7b
hsa-let-7f-1-precNo2,hsa-let-7f
hsa-mir-009-3No2,hsa-miR-9*
hsa-mir-010b-precNo2,hsa-miR-10b*
hsa-mir-015b-precNo2,hsa-miR-15b*
hsa-mir-024-1-precNo2,hsa-miR-24-1*
hsa-mir-106aNo1,hsa-miR-106a
hsa-mir-135a-1No1,hsa-miR-135a
hsa-mir-16-1No1,hsa-miR-16
hsa-mir-30c-2No1,hsa-miR-30c
hsa-mir-325No1,hsa-miR-325
hsa-mir-129-2No2,hsa-miR-129*
hsa-mir-15aNo2,hsa-miR-15a*
hsa-mir-30c-1No2,hsa-miR-30c-1*
hsa-mir-526b*,hsa-miR-526b*
hsa_mir_320_Hcd306 right,hsa-miR-320a
hsa-mir-192-2/3No1,hsa-miR-192
hsa-mir-194-precNo1,hsa-miR-194
hsa-mir-206-precNo1,hsa-miR-206
hsa-mir-211-precNo1,hsa-miR-211
hsa-mir-20bNo2,hsa-miR-20b*
hsa-mir-202,hsa-miR-202
hsa-mir-376aNo1,hsa-miR-376a
hsa-mir-377No1,hsa-miR-377
hsa-mir-379No1,hsa-miR-379
hsa-mir-422aNo1,hsa-miR-422a
hsa-mir-424No1,hsa-miR-424
hsa-mir-429No1,hsa-miR-429
hsa-let-7a-1-prec,hsa-let-7a
hsa-mir-001b-1-prec1,hsa-miR-1
hsa-mir-007-2-precNo2,hsa-miR-7
hsa-mir-009-1No2,hsa-miR-9*
hsa-mir-017-precNo2,hsa-miR-17
hsa-mir-019b-2-prec,hsa-miR-19b
hsa-mir-022-prec,hsa-miR-22
hsa-mir-030a-precNo1,hsa-miR-30a
hsa-mir-030c-prec,hsa-miR-30c
hsa-mir-032-precNo1,hsa-miR-32*
hsa-mir-192No1,hsa-miR-192
hsa-mir-196a-2No1,hsa-miR-196a
hsa-mir-346No1,hsa-miR-346
hsa-miR-373*No1,hsa-miR-373*
hsa-mir-105-2No2,hsa-miR-105*
hsa-mir-522,hsa-miR-522
hsa-mir-198-prec,hsa-miR-198
hsa-mir-213-precNo1,hsa-miR-181b
hsa-mir-217-precNo2,hsa-miR-217
hsa-mir-362No2,hsa-miR-362-3p
hsa-mir-381No1,hsa-miR-381
hsa-mir-410No1,hsa-miR-410
hsa-mir-4325p,hsa-miR-432
hsa-mir-448No1,hsa-miR-448
hsa-mir-450-1,hsa-miR-450a
hsa-mir-488No2,hsa-miR-488
hsa-mir-033-prec,hsa-miR-33a
hsa-mir-092-prec-13=092-1No2,hsa-miR-92a
hsa-mir-096-prec-7No1,hsa-miR-96*
hsa-mir-122a-prec,hsa-miR-122
hsa-mir-124a-2-prec,hsa-miR-124
hsa-mir-125b-1,hsa-miR-125b
hsa-mir-136-precNo1,hsa-miR-136*
hsa-mir-138-2-prec,hsa-miR-138
hsa-mir-155-prec,hsa-miR-155
hsa-mir-107No1,hsa-miR-107
hsa-mir-130bNo1,hsa-miR-130b
hsa-mir-200bNo1,hsa-miR-200b
hsa-mir-368No1,hsa-miR-376c
hsa-mir-372No1,hsa-miR-372
hsa-mir-302aNo2,hsa-miR-302a*
hsa-mir-492No1,hsa-miR-492
hsa-mir-494No1,hsa-miR-494
hsa-mir-496No1,hsa-miR-496
hsa-mir-504No1,hsa-miR-504
hsa-mir-506No1,hsa-miR-506
hsa-mir-514-1No1,hsa-miR-514
hsa-mir-515-15p,hsa-miR-515-5p
hsa-mir-518c*,hsa-miR-518c*
hsa-mir-518e/526c,hsa-miR-518e*
hsa-mir-099b-prec-19No2,hsa-miR-99b
hsa-mir-101-1/2-precNo2,hsa-miR-101
hsa-mir-103-prec-5=103-1,hsa-miR-103
hsa-mir-129-precNo1,hsa-miR-129-5p
hsa-mir-132-precNo1,hsa-miR-132
hsa-mir-141-precNo1,hsa-miR-141
hsa-mir-144-precNo1,hsa-miR-144
hsa-mir-147-prec,hsa-miR-147
hsa-mir-181b-precNo2,hsa-miR-181a*
hsa-mir-302aNo1,hsa-miR-302a
hsa-mir-320No1,hsa-miR-320
hsa-mir-328No1,hsa-miR-328
hsa-mir-130bNo2,hsa-miR-130b*
hsa-mir-200bNo2,hsa-miR-200b*
hsa-mir-498No1,hsa-miR-498
hsa-mir-500No1,hsa-miR-500*
hsa-mir-510No1,hsa-miR-510
hsa-mir-511-2No1,hsa-miR-511
hsa-mir-516-35p,hsa-miR-516b
hsa-mir-517*,hsa-miR-517*
hsa-mir-517c*,hsa-miR-517*
hsa-mir-519a-1/526c,hsa-miR-519a*
hsa-mir-519b/526c,hsa-miR-523*
hsa-mir-519dNo1,hsa-miR-519d
hsa-let-7a-3-prec,hsa-let-7a
hsa-let-7d-v1-prec,hsa-let-7d
hsa-mir-009-3No1,hsa-mir-9
hsa-mir-010b-precNo1,hsa-miR-10b
hsa-mir-015b-precNo1,hsa-miR-15b
hsa-mir-024-1-precNo1,hsa-miR-24
hsa-mir-026a-precNo1,hsa-miR-26a
hsa-mir-027b-prec,hsa-miR-27b
hsa-mir-105-2No1,hsa-miR-105
hsa-mir-15aNo1,hsa-miR-15a
hsa-mir-296No1,hsa-miR-296-5p
hsa-mir-30c-1No1,hsa-miR-30c
hsa-mir-135bNo2,hsa-miR-135b*
hsa-miR-302c*No2,hsa-miR-302c
hsa-mir-520eNo1,hsa-miR-520e
hsa-mir-526a-1No1,hsa-miR-526a
hsa-mir-526b,hsa-miR-526b
hsa-mir-187-precNo1,hsa-miR-187
hsa-mir-191-prec,hsa-miR-191
hsa-mir-203-precNo1,hsa-miR-203
hsa-mir-205-prec,hsa-miR-205
hsa-mir-210-prec,hsa-miR-210
hsa-mir-218-2-precNo2,hsa-miR-218
hsa-mir-222-precNo1,hsa-miR-222
hsa-mir-29b-2=102prec7.1=7.2,hsa-miR-29b
hsa-mir-20bNo1,hsa-miR-20b
hsa-mir-181dNo1,hsa-miR-181d
hsa-mir-202*,hsa-miR-202*
hsa-mir-375,hsa-miR-375
hsa-mir-378No2,hsa-miR-378
hsa-mir-425No2,hsa-miR-425
hsa-mir-451No1,hsa-miR-451
hsa-mir-453No1,hsa-miR-453
hsa-mir-007-2-precNo1,hsa-miR-7-2*
hsa-mir-009-1No1,hsa-miR-9
hsa-mir-017-precNo1,hsa-miR-17*
hsa-mir-019b-1-prec,hsa-miR-19b
hsa-mir-021-prec-17No2,hsa-miR-21
hsa-mir-029c-prec,hsa-miR-29c
hsa-mir-030b-precNo2,hsa-miR-30b*
hsa-mir-181b-2No1,hsa-miR-181b
hsa-mir-196a-1No1,hsa-miR-196a
hsa-mir-345No1,hsa-miR-345
hsa-mir-100No2,hsa-miR-100*
hsa-mir-194-2No2,hsa-miR-194*
hsa-mir-21No2,hsa-miR-21*
hsa-mir-26a-2No2,hsa-miR-26a-2*
hsa-mir-34bNo2,hsa-miR-34b
hsa-mir-520gNo1,hsa-miR-520g
hsa-mir-521-1No1,hsa-miR-521
hsa-mir-522/526c,hsa-miR-522*
hsa-mir-196-1-precNo1,hsa-miR-196a
hsa-mir-197-prec,hsa-miR-197
hsa-mir-215-precNo1,hsa-miR-215
hsa-mir-329-2No1,hsa-miR-329
hsa-mir-362No1,hsa-miR-362-5p
hsa-mir-365-1No1,hsa-miR-365
hsa-mir-380-3p,hsa-miR-380
hsa-mir-383No1,hsa-miR-383
hsa-mir-409-3p,hsa-miR-409-3p
hsa-mir-488No1,hsa-miR-488*
hsa-mir-033b-prec,hsa-miR-33b
hsa-mir-092-prec-13=092-1No1,hsa-miR-92a-1*
hsa-mir-095-prec-4,hsa-miR-95
hsa-mir-107-prec-10,hsa-miR-107
hsa-mir-124a-1-prec1,hsa-miR-124
hsa-mir-135-2-prec,hsa-miR-135a
hsa-mir-138-1-prec,hsa-miR-138
hsa-mir-150-prec,hsa-miR-150
hsa-mir-153-1-prec1,hsa-miR-153
hsa-mir-154-prec1No2,hsa-miR-154*
hsa-mir-101-2No1,hsa-miR-101
hsa-mir-148bNo1,hsa-miR-148b
hsa-mir-367No1,hsa-miR-367
hsa-mir-302dNo2,hsa-miR-302d*
hsa-mir-493No2,hsa-miR-493
hsa-mir-505No2,hsa-miR-505*
hsa-mir-515-23p,hsa-miR-515-3p
hsa-mir-518bNo2,hsa-miR-519c-5p
hsa-mir-099b-prec-19No1,hsa-miR-99b*
hsa-mir-101-1/2-precNo1,hsa-miR-101*
hsa-mir-103-2-prec,hsa-miR-103
hsa-mir-130a-precNo2,hsa-miR-130a
hsa-mir-143-prec,hsa-miR-143
hsa-mir-146-prec,hsa-miR-146a
hsa-mir-181b-precNo1,hsa-miR-181a
hsa-mir-182-precNo1,hsa-miR-182*
hsa-mir-184-precNo1,hsa-miR-184
hsa-mir-301No1,hsa-miR-301a
hsa-mir-302dNo1,hsa-miR-302d
hsa-mir-326No1,hsa-miR-326
hsa-mir-148bNo2,hsa-miR-148b*
hsa-mir-367No2,hsa-miR-367*
hsa-mir-501No2,hsa-miR-501-3p
hsa-mir-516-43p,hsa-miR-516b*
hsa-mir-517b,hsa-miR-517*
hsa-mir-518f,hsa-miR-518f
hsa-let-7a-2-precNo2,hsa-let-7a
hsa-let-7d-prec,hsa-let-7d
hsa-let-7e-prec,hsa-let-7e
hsa-mir-009-2No2,hsa-miR-9*
hsa-mir-010a-precNo2,hsa-miR-10a*
hsa-mir-015a-2-precNo2,hsa-miR-15a*
hsa-mir-023b-prec,hsa-miR-23b
hsa-mir-025-prec,hsa-miR-25
hsa-mir-027a-prec,hsa-miR-27a
hsa-mir-100No1,hsa-miR-100
hsa-miR-126*No1,hsa-miR-126*
hsa-mir-135bNo1,hsa-miR-135b
hsa-mir-26a-2No1,hsa-miR-26a
hsa-miR-302c*No1,hsa-miR-302c*
hsa-mir-106bNo2,hsa-miR-106b*
hsa-mir-16-2No2,hsa-miR-16-2*
hsa-miR-302b*No2,hsa-miR-302b
hsa-mir-335No2,hsa-miR-335*
hsa-mir-519e,hsa-miR-519e*
hsa-mir-520bNo2,hsa-miR-519c-5p
hsa-mir-523,hsa-miR-523
hsa-mir-186-prec,hsa-miR-186
hsa-mir-190-prec,hsa-miR-190
hsa-mir-202-prec,hsa-miR-202
hsa-mir-208-prec,hsa-miR-208a
hsa-mir-218-2-precNo1,hsa-miR-218-2*
hsa-mir-221-prec,hsa-miR-221
hsa-mir-224-prec,hsa-miR-224
hsa-mir-18bNo2,hsa-miR-18b*
hsa-mir-193bNo2,hsa-miR-193b*
hsa-mir-376bNo1,hsa-miR-376b
hsa-mir-378No1,hsa-miR-378*
hsa-mir-412No1,hsa-miR-412
hsa-mir-425No1,hsa-miR-425*
hsa-mir-452*,hsa-miR-452
hsa-let-7g-precNo1,hsa-let-7g
hsa-mir-007-1-prec,hsa-miR-7
hsa-mir-007-3-precNo2,hsa-miR-7
hsa-mir-016b-chr3,hsa-miR-16
hsa-mir-019a-prec,hsa-miR-19a
hsa-mir-021-prec-17No1,hsa-miR-21
hsa-mir-029a-2No2,hsa-miR-29a*
hsa-mir-030b-precNo1,hsa-miR-30b
hsa-mir-030d-precNo2,hsa-miR-30d
hsa-mir-181b-1No1,hsa-miR-181b
hsa-mir-194-2No1,hsa-miR-194
hsa-mir-21No1,hsa-miR-21
hsa-mir-34bNo1,hsa-miR-34b*
hsa-let-7iNo2,hsa-let-7i*
hsa-mir-26a-1No2,hsa-miR-26a-1*
hsa-mir-374No2,hsa-miR-374a*
hsa_mir_490_Hcd20 right,hsa-miR-490-3p
hsa-mir-195-prec,hsa-miR-195
hsa-mir-196-2-precNo2,hsa-miR-196a
hsa-mir-212-precNo1,hsa-miR-212
hsa-mir-214-prec,hsa-miR-214
hsa-mir-216-precNo2,hsa-miR-216a
hsa-mir-361No2,hsa-miR-361-3p
hsa-mir-363No2,hsa-miR-363*
hsa-mir-380-5p,hsa-miR-380*
hsa-mir-382,hsa-miR-382
hsa-mir-409-5p,hsa-miR-409-5p
hsa-mir-431No1,hsa-miR-431
hsa-mir-433No1,hsa-miR-433
hsa-mir-449No1,hsa-miR-449a
hsa-mir-032-precNo2,hsa-miR-32
hsa-mir-034-precNo2,hsa-miR-34a*
hsa-mir-093-prec-7.1=093-1,hsa-miR-93
hsa-mir-106-prec-X,hsa-miR-106a
hsa-mir-123-precNo2,hsa-miR-126
hsa-mir-133a-1,hsa-miR-133a
hsa-mir-135-1-prec,hsa-miR-135a
hsa-mir-137-prec,hsa-miR-137
hsa-mir-149-prec,hsa-miR-149
hsa-mir-154-prec1No1,hsa-miR-154
hsa-mir-101-1No1,hsa-miR-101
hsa-mir-1-2No1,hsa-miR-1
hsa-mir-148aNo1,hsa-miR-148a
hsa-mir-370No1,hsa-miR-370
hsa-mir-29b-1No2,hsa-miR-29b-1*
hsa-mir-302cNo2,hsa-miR-302c*
hsa-mir-493No1,hsa-miR-493*
hsa-mir-495No1,hsa-miR-495
hsa-mir-503No1,hsa-miR-503
hsa-mir-505No1,hsa-miR-505
hsa-mir-507No1,hsa-miR-507
hsa-mir-514-2&3No1,hsa-miR-514
hsa-mir-515-25p,hsa-miR-515-5p
hsa-mir-518a-1*,hsa-miR-527
hsa-mir-518bNo1,hsa-miR-518b
hsa-mir-098-prec-X,hsa-miR-98
hsa-mir-100-1/2-prec,hsa-miR-100
hsa-mir-102-prec-1,hsa-miR-29b
hsa-mir-125b-2-precNo2,hsa-miR-125b
hsa-mir-128b-precNo1,hsa-miR-128
hsa-mir-130a-precNo1,hsa-miR-130a*
hsa-mir-145-prec,hsa-miR-145
hsa-mir-181a-precNo2,hsa-miR-181a-2*
hsa-mir-183-precNo2,hsa-miR-183*
hsa-mir-29b-1No1,hsa-miR-29b
hsa-mir-302cNo1,hsa-miR-302c
hsa-mir-101-1No2,hsa-miR-101*
hsa-mir-148aNo2,hsa-miR-148a*
hsa-mir-497No1,hsa-miR-497
hsa-mir-501No1,hsa-miR-501-5p
hsa-mir-511-1No1,hsa-miR-511
hsa-mir-516-45p,hsa-miR-516b
hsa-mir-517b*,hsa-miR-517*
hsa-mir-518f*,hsa-miR-518f*
hsa-mir-519a-2No1,hsa-miR-519a
hsa-let-7c-prec,hsa-let-7c
hsa-let-7d-v2-precNo2,hsa-let-7i
hsa-mir-009-2No1,hsa-miR-9
hsa-mir-010a-precNo1,hsa-miR-10a
hsa-mir-015a-2-precNo1,hsa-miR-15a
hsa-mir-023a-prec,hsa-miR-23a
hsa-mir-024-2-prec,hsa-miR-24
hsa-mir-026b-prec,hsa-miR-26b
hsa-let-7iNo1,hsa-let-7i
hsa-mir-106bNo1,hsa-miR-106b
hsa-mir-135a-2No1,hsa-miR-135a
hsa-mir-26a-1No1,hsa-miR-26a
hsa-miR-302b*No1,hsa-miR-302b*
hsa-mir-30eNo1,hsa-miR-30e
hsa-mir-106aNo2,hsa-miR-106a*
hsa-mir-135a-1No2,hsa-miR-135a*
hsa-mir-16-1No2,hsa-miR-16-1*
hsa-mir-30c-2No2,hsa-miR-30c-2*
hsa-mir-519e*,hsa-miR-519e*
hsa-mir-520bNo1,hsa-miR-520b
hsa-mir-523/526c,hsa-miR-523*
hsa-mir-526a-2No1,hsa-miR-526a
hsa-mir-185-precNo2,hsa-miR-185*
hsa-mir-200a-prec,hsa-miR-200b
hsa-mir-204-precNo1,hsa-miR-204
hsa-mir-218-1-prec,hsa-miR-218
hsa-mir-220-prec,hsa-miR-220a
hsa-mir-223-prec,hsa-miR-223
hsa-mir-18bNo1,hsa-miR-18b
hsa-mir-146bNo1,hsa-miR-146b-5p
hsa-mir-193bNo1,hsa-miR-193b
hsa-mir-365-2No1,hsa-miR-365
hsa-mir-376aNo2,hsa-miR-376a*
hsa-mir-377No2,hsa-miR-377*
hsa-mir-424No2,hsa-miR-424*
hsa-mir-450-2No1,hsa-miR-450a
hsa-mir-452,hsa-miR-452
hsa-let-7f-2-prec2,hsa-let-7f
hsa-mir-001b-2-prec,hsa-miR-1
hsa-mir-016a-chr13,hsa-miR-16
hsa-mir-018-prec,hsa-miR-18a
hsa-mir-020-prec,hsa-miR-20a
hsa-mir-029a-2No1,hsa-miR-29a
hsa-mir-030a-precNo2,hsa-miR-30a*
hsa-mir-030d-precNo1,hsa-miR-30d*
hsa-mir-16-2No1,hsa-miR-16
hsa-mir-194-1No1,hsa-miR-194
hsa-mir-196bNo1,hsa-miR-196b
hsa-mir-335No1,hsa-miR-335
hsa-mir-34aNo1,hsa-miR-34a
hsa-mir-374No1,hsa-miR-374a
hsa-miR-373*No2,hsa-miR-373
hsa-mir-520fNo1,hsa-miR-520f
hsa-mir-520hNo1,hsa-miR-520h
hsa-mir-521-2No1,hsa-miR-521
hsa-mir-527No1,hsa-miR-527
hsa-mir-329-1No1,hsa-miR-329
hsa-mir-361No1,hsa-miR-361-5p
hsa-mir-363No1,hsa-miR-363
hsa-mir-379No2,hsa-miR-379*
hsa-mir-384,hsa-miR-384
hsa-mir-4323p,hsa-miR-432*
hsa-mir-484,hsa-miR-484
hsa-mir-487No1,hsa-miR-487a
hsa-mir-489No1,hsa-miR-489
