Reporter Name,Reporter Database Entry [mirbase],Reporter Group [organism],Comment[Contains_Mature_MiRNA],Comment[SPOT_ID]
mmu-mir-28No2,mmu-miR-28*,Mus musculus,yes,NA
mmu-mir-219-1No2,mmu-mir-219-1,Mus musculus,no,NA
hsa-mir-302aNo1,hsa-miR-302a,Homo sapiens,yes,NA
hsa-mir-320No1,hsa-miR-320,Homo sapiens,yes,NA
hsa-mir-328No1,hsa-miR-328,Homo sapiens,yes,NA
hsa-mir-107No2,hsa-mir-107,Homo sapiens,no,NA
hsa-mir-130bNo2,hsa-miR-130b*,Homo sapiens,yes,NA
hsa-mir-200bNo2,hsa-miR-200b*,Homo sapiens,yes,NA
hsa-mir-338No2,hsa-mir-338,Homo sapiens,no,NA
hsa-mir-368No2,hsa-mir-376c,Homo sapiens,no,NA
hsa-mir-372No2,hsa-mir-372,Homo sapiens,no,NA
mmu-mir-468No2,mmu-mir-468,Mus musculus,no,NA
mmu-mir-471No1,mmu-mir-471,Mus musculus,yes,NA
mmu-mir-484,mmu-miR-484,Mus musculus,yes,NA
mmu-mir-153-prec,mmu-mir-153,Mus musculus,yes,NA
mmu-mir-182-prec,mmu-miR-182,Mus musculus,yes,NA
mmu-mir-185-prec,mmu-miR-185,Mus musculus,yes,NA
mmu-mir-202-prec,mmu-mir-202,Mus musculus,no,NA
mmu-mir-205-prec,mmu-miR-205,Mus musculus,yes,NA
mmu-mir-212-precNo2,mmu-mir-212,Mus musculus,no,NA
mmu-mir-224-precformer175No1,mmu-miR-224,Mus musculus,yes,NA
mmu-mir-133a-2No2,mmu-miR-133a*,Mus musculus,yes,NA
mmu-mir-194-2No2,mmu-miR-194,Mus musculus,yes,NA
mmu-mir-199a-2No2,mmu-mir-199a-2,Mus musculus,no,NA
mmu-mir-208No2,mmu-mir-208a,Mus musculus,no,NA
mmu-mir-29cNo2,mmu-miR-29c*,Mus musculus,yes,NA
mmu-mir-103-1No2,mmu-mir-103-1,Mus musculus,no,NA
mmu-mir-344No2,mmu-mir-344-1,Mus musculus,no,NA
mmu-mir-17No2,mmu-miR-17*,Mus musculus,yes,NA
mmu-mir-210No2,mmu-mir-210,Mus musculus,no,NA
hsa-mir-498No1,hsa-miR-498,Homo sapiens,yes,NA
hsa-mir-500No1,hsa-miR-500*,Homo sapiens,yes,NA
hsa-mir-502No1,hsa-mir-502,Homo sapiens,no,NA
hsa-mir-510No1,hsa-miR-510,Homo sapiens,yes,NA
hsa-mir-511-2No1,hsa-miR-511,Homo sapiens,yes,NA
hsa-mir-513-1No1,hsa-mir-513a-1,Homo sapiens,no,NA
hsa-mir-516-35p,hsa-miR-516b,Homo sapiens,yes,NA
hsa-mir-517*,hsa-miR-517*,Homo sapiens,yes,NA
hsa-mir-517c*,hsa-miR-517*,Homo sapiens,yes,NA
hsa-mir-519a-1/526c,hsa-miR-519a*,Homo sapiens,yes,NA
hsa-mir-519b/526c,hsa-miR-523*,Homo sapiens,yes,NA
hsa-mir-519dNo1,hsa-miR-519d,Homo sapiens,yes,NA
hsa-let-7a-3-prec,hsa-let-7a,Homo sapiens,yes,NA
hsa-let-7d-v1-prec,hsa-let-7d,Homo sapiens,yes,NA
hsa-let-7f-1-precNo1,hsa-let-7f-1,Homo sapiens,no,NA
hsa-mir-009-3No1,hsa-mir-9,Homo sapiens,yes,NA
hsa-mir-010b-precNo1,hsa-miR-10b,Homo sapiens,yes,NA
hsa-mir-015b-precNo1,hsa-miR-15b,Homo sapiens,yes,NA
hsa-mir-024-1-precNo1,hsa-miR-24,Homo sapiens,yes,NA
hsa-mir-026a-precNo1,hsa-miR-26a,Homo sapiens,yes,NA
hsa-mir-027b-prec,hsa-miR-27b,Homo sapiens,yes,NA
mmu-mir-125b-1No1,mmu-mir-125b-1,Mus musculus,no,NA
mmu-mir-9-3No1,mmu-miR-9,Mus musculus,yes,NA
mmu-mir-138-2No1,mmu-mir-138-2,Mus musculus,no,NA
mmu-mir-106aNo1,mmu-miR-106a,Mus musculus,yes,NA
mmu-mir-30dNo1,mmu-miR-30d,Mus musculus,yes,NA
mmu-let-7a-1No1,mmu-let-7a,Mus musculus,yes,NA
mmu-mir-26bNo1,mmu-miR-26b,Mus musculus,yes,NA
mmu-mir-34aNo1,mmu-miR-34a,Mus musculus,yes,NA
mmu-mir-339No1,mmu-mir-339,Mus musculus,no,NA
mmu-mir-211No1,mmu-miR-211,Mus musculus,yes,NA
mmu-mir-181b-2No1,mmu-miR-181b,Mus musculus,yes,NA
mmu-mir-7bNo1,mmu-mir-7b,Mus musculus,no,NA
hsa-mir-105-2No1,hsa-miR-105,Homo sapiens,yes,NA
hsa-mir-129-2No1,hsa-mir-129-2,Homo sapiens,no,NA
hsa-mir-15aNo1,hsa-miR-15a,Homo sapiens,yes,NA
hsa-mir-296No1,hsa-miR-296-5p,Homo sapiens,yes,NA
hsa-mir-30c-1No1,hsa-miR-30c,Homo sapiens,yes,NA
hsa-miR-324-5pNo1,hsa-mir-324,Homo sapiens,no,NA
hsa-miR-126*No2,hsa-mir-126*,Homo sapiens,no,NA
hsa-mir-135bNo2,hsa-miR-135b*,Homo sapiens,yes,NA
hsa-mir-181b-1No2,hsa-mir-181b-1,Homo sapiens,no,NA
hsa-miR-302c*No2,hsa-miR-302c,Homo sapiens,yes,NA
hsa-mir-339No2,hsa-mir-339,Homo sapiens,no,NA
hsa-mir-520a*,hsa-mir-520a,Homo sapiens,no,NA
hsa-mir-520c/526a,hsa-mir-520c,Homo sapiens,no,NA
hsa-mir-520eNo1,hsa-miR-520e,Homo sapiens,yes,NA
hsa-mir-524*,hsa-mir-524,Homo sapiens,no,NA
hsa-mir-526a-1No1,hsa-miR-526a,Homo sapiens,yes,NA
hsa-mir-526b,hsa-miR-526b,Homo sapiens,yes,NA
mmu-mir-370No1,hsa-miR-370,Homo sapiens,yes,NA
mmu-mir-376aNo1,mmu-miR-376a,Mus musculus,yes,NA
mmu-mir-377No1,mmu-miR-377,Mus musculus,yes,NA
mmu-mir-410No1,mmu-miR-410,Mus musculus,yes,NA
mmu-mir-412No1,hsa-miR-412,Homo sapiens,yes,NA
mmu-mir-429No1,mmu-miR-429,Mus musculus,yes,NA
hsa-mir-187-precNo1,hsa-miR-187,Homo sapiens,yes,NA
hsa-mir-191-prec,hsa-miR-191,Homo sapiens,yes,NA
hsa-mir-193-precNo2,hsa-mir-193a,Homo sapiens,no,NA
hsa-mir-203-precNo1,hsa-miR-203,Homo sapiens,yes,NA
hsa-mir-205-prec,hsa-miR-205,Homo sapiens,yes,NA
hsa-mir-210-prec,hsa-miR-210,Homo sapiens,yes,NA
hsa-mir-218-2-precNo2,hsa-miR-218,Homo sapiens,yes,NA
hsa-mir-222-precNo1,hsa-miR-222,Homo sapiens,yes,NA
hsa-mir-29b-2=102prec7.1=7.2,hsa-miR-29b,Homo sapiens,yes,NA
mmu-mir-100-prec,mmu-miR-100,Mus musculus,yes,NA
mmu-mir-123-precNo1,mmu-mir-126,Mus musculus,no,NA
mmu-mir-125b-precNo1,mmu-mir-125b-2,Mus musculus,no,NA
mmu-mir-29b-2No1,mmu-miR-29b,Mus musculus,yes,NA
mmu-mir-124a-3No1,mmu-miR-124,Mus musculus,yes,NA
mmu-mir-9-1No1,mmu-miR-9*,Mus musculus,yes,NA
mmu-mir-292No1,mmu-mir-292,Mus musculus,no,NA
mmu-mir-300No1,mmu-miR-300,Mus musculus,yes,NA
mmu-mir-130bNo1,mmu-miR-130b,Mus musculus,yes,NA
mmu-mir-324No1,mmu-mir-324,Mus musculus,no,NA
mmu-mir-330No1,mmu-miR-330*,Mus musculus,yes,NA
mmu-mir-338No1,mmu-mir-338,Mus musculus,no,NA
hsa-mir-20bNo1,hsa-miR-20b,Homo sapiens,yes,NA
hsa-mir-181dNo1,hsa-miR-181d,Homo sapiens,yes,NA
hsa-mir-202*,hsa-miR-202*,Homo sapiens,yes,NA
hsa-mir-375,hsa-miR-375,Homo sapiens,yes,NA
hsa-mir-376bNo2,hsa-mir-376b,Homo sapiens,no,NA
hsa-mir-378No2,hsa-miR-378,Homo sapiens,yes,NA
hsa-mir-412No2,hsa-mir-412,Homo sapiens,no,NA
hsa-mir-423No2,hsa-mir-423,Homo sapiens,no,NA
hsa-mir-425No2,hsa-miR-425,Homo sapiens,yes,NA
hsa-mir-451No1,hsa-miR-451,Homo sapiens,yes,NA
hsa-mir-453No1,hsa-miR-453,Homo sapiens,yes,NA
hsa-mir-483No1,hsa-mir-483,Homo sapiens,no,NA
hsa-let-7g-precNo2,hsa-let-7g,Homo sapiens,no,NA
hsa-mir-007-2-precNo1,hsa-miR-7-2*,Homo sapiens,yes,NA
hsa-mir-009-1No1,hsa-miR-9,Homo sapiens,yes,NA
hsa-mir-017-precNo1,hsa-miR-17*,Homo sapiens,yes,NA
hsa-mir-019b-1-prec,hsa-miR-19b,Homo sapiens,yes,NA
hsa-mir-021-prec-17No2,hsa-miR-21,Homo sapiens,yes,NA
hsa-mir-029c-prec,hsa-miR-29c,Homo sapiens,yes,NA
hsa-mir-030b-precNo2,hsa-miR-30b*,Homo sapiens,yes,NA
hsa-mir-031-prec,hsa-mir-31,Homo sapiens,no,NA
mmu-mir-181aNo1,mmu-miR-181a,Mus musculus,yes,NA
mmu-mir-299No1,mmu-miR-299*,Mus musculus,yes,NA
mmu-let-7c-2No1,mmu-let-7c,Mus musculus,yes,NA
mmu-mir-15aNo1,mmu-miR-15a,Mus musculus,yes,NA
mmu-mir-20No1,mmu-mir-20a,Mus musculus,no,NA
mmu-mir-135bNo1,mmu-miR-135b,Mus musculus,yes,NA
mmu-mir-28No1,mmu-miR-28,Mus musculus,yes,NA
mmu-mir-219-1No1,mmu-miR-219,Mus musculus,yes,NA
hsa-mir-181b-2No1,hsa-miR-181b,Homo sapiens,yes,NA
hsa-mir-196a-1No1,hsa-miR-196a,Homo sapiens,yes,NA
hsa-mir-219-1No1,hsa-mir-219-1,Homo sapiens,no,NA
hsa-mir-345No1,hsa-miR-345,Homo sapiens,yes,NA
hsa-mir-34cNo1,hsa-mir-34c,Homo sapiens,no,NA
hsa-mir-100No2,hsa-miR-100*,Homo sapiens,yes,NA
hsa-mir-194-2No2,hsa-miR-194*,Homo sapiens,yes,NA
hsa-mir-21No2,hsa-miR-21*,Homo sapiens,yes,NA
hsa-mir-26a-2No2,hsa-miR-26a-2*,Homo sapiens,yes,NA
hsa-mir-34bNo2,hsa-miR-34b,Homo sapiens,yes,NA
mmu-mir-4853p,mmu-miR-485*,Mus musculus,yes,NA
hsa-mir-520gNo1,hsa-miR-520g,Homo sapiens,yes,NA
hsa-mir-521-1No1,hsa-miR-521,Homo sapiens,yes,NA
hsa-mir-522/526c,hsa-miR-522*,Homo sapiens,yes,NA
mmu-mir-1-2No1,mmu-miR-1,Mus musculus,yes,NA
mmu-mir-361No1,mmu-mir-361,Mus musculus,yes,NA
mmu-mir-365-1No1,hsa-miR-365,Homo sapiens,yes,NA
mmu-mir-379No1,hsa-miR-379,Homo sapiens,yes,NA
mmu-mir-381No1,mmu-miR-381,Mus musculus,yes,NA
mmu-mir-383No2,mmu-mir-383,Mus musculus,no,NA
mmu-mir-4335p,mmu-miR-433*,Mus musculus,yes,NA
mmu-mir-448No1,mmu-miR-448,Mus musculus,yes,NA
mmu-mir-450,mmu-mir-450a-1,Mus musculus,no,NA
hsa-mir-196-1-precNo1,hsa-miR-196a,Homo sapiens,yes,NA
hsa-mir-197-prec,hsa-miR-197,Homo sapiens,yes,NA
hsa-mir-199b-precNo1,hsa-mir-199b,Homo sapiens,no,NA
hsa-mir-212-precNo2,hsa-mir-212,Homo sapiens,no,NA
hsa-mir-215-precNo1,hsa-miR-215,Homo sapiens,yes,NA
hsa-mir-217-precNo1,hsa-mir-217,Homo sapiens,no,NA
mmu-mir-001d-prec,mmu-miR-1,Mus musculus,yes,NA
mmu-mir-023b-prec,mmu-miR-23b,Mus musculus,yes,NA
mmu-mir-030e-prec,mmu-miR-30e,Mus musculus,yes,NA
mmu-mir-128-precNo2,mmu-mir-128-1,Mus musculus,no,NA
mmu-mir-131-3-prec,mmu-miR-9*,Mus musculus,yes,NA
mmu-mir-134-precNo2,mmu-miR-134,Mus musculus,yes,NA
mmu-mir-133a-2No1,mmu-mir-133a-2,Mus musculus,no,NA
mmu-mir-194-2No1,mmu-mir-194-2,Mus musculus,no,NA
mmu-mir-199a-2No1,mmu-mir-199a-2,Mus musculus,no,NA
mmu-mir-208No1,mmu-miR-208a,Mus musculus,yes,NA
mmu-mir-29cNo1,mmu-miR-29c,Mus musculus,yes,NA
mmu-mir-103-1No1,mmu-miR-103,Mus musculus,yes,NA
mmu-mir-344No1,mmu-miR-344,Mus musculus,yes,NA
mmu-mir-17No1,mmu-miR-17,Mus musculus,yes,NA
mmu-mir-210No1,mmu-mir-210,Mus musculus,no,NA
hsa-mir-329-2No1,hsa-miR-329,Homo sapiens,yes,NA
hsa-mir-362No1,hsa-miR-362-5p,Homo sapiens,yes,NA
hsa-mir-365-1No1,hsa-miR-365,Homo sapiens,yes,NA
hsa-mir-380-3p,hsa-miR-380,Homo sapiens,yes,NA
hsa-mir-383No1,hsa-miR-383,Homo sapiens,yes,NA
hsa-mir-409-3p,hsa-miR-409-3p,Homo sapiens,yes,NA
hsa-mir-431No2,hsa-mir-431,Homo sapiens,no,NA
hsa-mir-433No2,hsa-mir-433,Homo sapiens,no,NA
hsa-mir-449No2,hsa-mir-449a,Homo sapiens,no,NA
hsa-mir-485-3p,hsa-mir-485,Homo sapiens,no,NA
hsa-mir-488No1,hsa-miR-488*,Homo sapiens,yes,NA
hsa-mir-490No1,hsa-mir-490,Homo sapiens,no,NA
hsa-mir-033b-prec,hsa-miR-33b,Homo sapiens,yes,NA
hsa-mir-092-prec-13=092-1No1,hsa-miR-92a-1*,Homo sapiens,yes,NA
hsa-mir-095-prec-4,hsa-miR-95,Homo sapiens,yes,NA
hsa-mir-107-prec-10,hsa-miR-107,Homo sapiens,yes,NA
hsa-mir-124a-1-prec1,hsa-miR-124,Homo sapiens,yes,NA
hsa-mir-125a-precNo2,hsa-mir-125a,Homo sapiens,no,NA
hsa-mir-133a-2,hsa-mir-133a-2,Homo sapiens,no,NA
hsa-mir-135-2-prec,hsa-miR-135a,Homo sapiens,yes,NA
hsa-mir-138-1-prec,hsa-miR-138,Homo sapiens,yes,NA
hsa-mir-150-prec,hsa-miR-150,Homo sapiens,yes,NA
hsa-mir-153-1-prec1,hsa-miR-153,Homo sapiens,yes,NA
hsa-mir-154-prec1No2,hsa-miR-154*,Homo sapiens,yes,NA
mmu-mir-138-1No2,mmu-miR-138*,Mus musculus,yes,NA
mmu-let-7dNo2,mmu-let-7d*,Mus musculus,yes,NA
mmu-mir-30c-2No2,mmu-miR-30c-2*,Mus musculus,yes,NA
mmu-mir-196a-2No2,mmu-miR-196a*,Mus musculus,yes,NA
mmu-mir-26a-2No2,mmu-mir-26a-2,Mus musculus,no,NA
mmu-mir-96No2,mmu-mir-96,Mus musculus,no,NA
mmu-mir-325No2,mmu-mir-325,Mus musculus,no,NA
mmu-mir-33No2,mmu-mir-33,Mus musculus,no,NA
mmu-mir-181b-1No2,mmu-mir-181b-1,Mus musculus,no,NA
mmu-mir-7-2No2,mmu-mir-7a-2,Mus musculus,no,NA
hsa-mir-101-2No1,hsa-miR-101,Homo sapiens,yes,NA
hsa-mir-126No1,hsa-miR-26,Homo sapiens,no,NA
hsa-mir-148bNo1,hsa-miR-148b,Homo sapiens,yes,NA
hsa-mir-337No1,hsa-mir-337,Homo sapiens,no,NA
hsa-mir-367No1,hsa-miR-367,Homo sapiens,yes,NA
hsa-mir-371No1,hsa-mir-371,Homo sapiens,no,NA
hsa-mir-301No2,hsa-mir-301a,Homo sapiens,no,NA
hsa-mir-302dNo2,hsa-miR-302d*,Homo sapiens,yes,NA
hsa-mir-326No2,hsa-mir-326,Homo sapiens,no,NA
mmu-mir-452No1,mmu-miR-452,Mus musculus,yes,NA
mmu-mir-464No1,mmu-miR-464,Mus musculus,yes,NA
mmu-mir-466No1,mmu-miR-466a-3p,Mus musculus,yes,NA
mmu-mir-137-prec,mmu-miR-137,Mus musculus,yes,NA
mmu-mir-142-prec,mmu-mir-142,Mus musculus,no,NA
mmu-mir-146-prec,mmu-miR-146a,Mus musculus,yes,NA
mmu-mir-188-prec,mmu-mir-188,Mus musculus,no,NA
mmu-mir-192-2/3-prec,mmu-mir-192,Mus musculus,yes,NA
mmu-mir-196-prec,mmu-miR-196a,Mus musculus,yes,NA
mmu-mir-215-prec,mmu-miR-215,Mus musculus,yes,NA
mmu-mir-217-precNo2,mmu-mir-217,Mus musculus,no,NA
mmu-mir-219-precNo2,mmu-mir-219-1,Mus musculus,no,NA
mmu-mir-29b-1No2,mmu-miR-29b*,Mus musculus,yes,NA
mmu-mir-124a-2No2,mmu-mir-124-2,Mus musculus,no,NA
mmu-mir-130aNo2,mmu-mir-130a,Mus musculus,no,NA
mmu-mir-291No2,mmu-mir-291a,Mus musculus,no,NA
mmu-mir-295No2,mmu-miR-295*,Mus musculus,yes,NA
mmu-mir-323No2,mmu-mir-323,Mus musculus,no,NA
mmu-mir-329No2,mmu-mir-329,Mus musculus,no,NA
mmu-mir-148bNo2,mmu-mir-148b,Mus musculus,no,NA
mmu-mir-133bNo2,mmu-mir-133b,Mus musculus,no,NA
hsa-mir-491No2,hsa-mir-491,Homo sapiens,no,NA
hsa-mir-493No2,hsa-miR-493,Homo sapiens,yes,NA
hsa-mir-495No2,hsa-mir-495,Homo sapiens,no,NA
hsa-mir-503No2,hsa-mir-503,Homo sapiens,no,NA
hsa-mir-505No2,hsa-miR-505*,Homo sapiens,yes,NA
hsa-mir-507No2,hsa-mir-507,Homo sapiens,no,NA
hsa-mir-513-2No2,hsa-mir-513a-2,Homo sapiens,no,NA
hsa-mir-514-2&3No2,hsa-mir-514-3,Homo sapiens,no,NA
hsa-mir-515-23p,hsa-miR-515-3p,Homo sapiens,yes,NA
hsa-mir-518a-1,hsa-mir-518a-2,Homo sapiens,no,NA
hsa-mir-518bNo2,hsa-miR-519c-5p,Homo sapiens,yes,NA
hsa-mir-518dNo2,hsa-mir-518d,Homo sapiens,no,NA
hsa-mir-099b-prec-19No1,hsa-miR-99b*,Homo sapiens,yes,NA
hsa-mir-101-1/2-precNo1,hsa-miR-101*,Homo sapiens,yes,NA
hsa-mir-103-2-prec,hsa-miR-103,Homo sapiens,yes,NA
hsa-mir-127-prec,hsa-mir-127,Homo sapiens,no,NA
hsa-mir-128b-precNo2,hsa-mir-128-2,Homo sapiens,no,NA
hsa-mir-130a-precNo2,hsa-miR-130a,Homo sapiens,yes,NA
hsa-mir-140No2,hsa-mir-140,Homo sapiens,no,NA
hsa-mir-143-prec,hsa-miR-143,Homo sapiens,yes,NA
hsa-mir-146-prec,hsa-miR-146a,Homo sapiens,yes,NA
hsa-mir-181b-precNo1,hsa-miR-181a,Homo sapiens,yes,NA
hsa-mir-182-precNo1,hsa-miR-182*,Homo sapiens,yes,NA
hsa-mir-184-precNo1,hsa-miR-184,Homo sapiens,yes,NA
mmu-mir-129-2No2,mmu-mir-129-2,Mus musculus,no,NA
mmu-mir-298No2,mmu-mir-298,Mus musculus,no,NA
mmu-let-7c-1No2,mmu-let-7c-1*,Mus musculus,yes,NA
mmu-let-7f-2No2,mmu-let-7f-2,Mus musculus,no,NA
mmu-mir-18No2,mmu-miR-18a*,Mus musculus,yes,NA
mmu-mir-351No2,mmu-mir-351,Mus musculus,no,NA
mmu-mir-218-1No2,mmu-mir-218-1,Mus musculus,no,NA
hsa-mir-301No1,hsa-miR-301a,Homo sapiens,yes,NA
hsa-mir-302dNo1,hsa-miR-302d,Homo sapiens,yes,NA
hsa-mir-326No1,hsa-miR-326,Homo sapiens,yes,NA
hsa-mir-101-2No2,hsa-mir-101-2,Homo sapiens,no,NA
hsa-mir-126No2,hsa-mir-126,Homo sapiens,no,NA
hsa-mir-148bNo2,hsa-miR-148b*,Homo sapiens,yes,NA
hsa-mir-337No2,hsa-mir-337,Homo sapiens,no,NA
hsa-mir-367No2,hsa-miR-367*,Homo sapiens,yes,NA
hsa-mir-371No2,hsa-mir-371,Homo sapiens,no,NA
mmu-mir-468No1,mmu-miR-468,Mus musculus,yes,NA
mmu-mir-470No2,mmu-miR-470*,Mus musculus,yes,NA
mmu-mir-483No2,mmu-miR-483,Mus musculus,yes,NA
mmu-mir-152-prec,mmu-miR-152,Mus musculus,yes,NA
mmu-mir-181-prec,mmu-miR-181a,Mus musculus,yes,NA
mmu-mir-184-prec,mmu-miR-184,Mus musculus,yes,NA
mmu-mir-201-prec,mmu-miR-201,Mus musculus,yes,NA
mmu-mir-204-prec,mmu-miR-204,Mus musculus,yes,NA
mmu-mir-212-precNo1,mmu-miR-212,Mus musculus,yes,NA
mmu-mir-223-prec,mmu-miR-223,Mus musculus,yes,NA
mmu-mir-133a-1No2,mmu-miR-133a*,Mus musculus,yes,NA
mmu-mir-194-1No2,mmu-miR-194,Mus musculus,yes,NA
mmu-mir-148aNo2,mmu-miR-148a*,Mus musculus,yes,NA
mmu-mir-29aNo2,mmu-miR-29a*,Mus musculus,yes,NA
mmu-mir-92-2No2,mmu-miR-92a*,Mus musculus,yes,NA
mmu-mir-342No2,mmu-mir-342,Mus musculus,no,NA
mmu-mir-107No2,mmu-mir-107,Mus musculus,no,NA
mmu-mir-200cNo2,mmu-miR-200c*,Mus musculus,yes,NA
hsa-mir-497No2,hsa-mir-497,Homo sapiens,no,NA
hsa-mir-499No2,hsa-mir-499,Homo sapiens,no,NA
hsa-mir-501No2,hsa-miR-501-3p,Homo sapiens,yes,NA
hsa-mir-509No2,hsa-mir-509-2,Homo sapiens,no,NA
hsa-mir-511-1No2,hsa-mir-511-2,Homo sapiens,no,NA
hsa-mir-512-1&23p,hsa-mir-512-2,Homo sapiens,no,NA
hsa-mir-516-2No2,hsa-mir-516a-2,Homo sapiens,no,NA
hsa-mir-516-43p,hsa-miR-516b*,Homo sapiens,yes,NA
hsa-mir-517b,hsa-miR-517*,Homo sapiens,yes,NA
hsa-mir-518f,hsa-miR-518f,Homo sapiens,yes,NA
hsa-mir-519a-2No2,hsa-mir-519a-2,Homo sapiens,no,NA
hsa-mir-519c,hsa-mir-519c,Homo sapiens,no,NA
hsa-let-7a-2-precNo2,hsa-let-7a,Homo sapiens,yes,NA
hsa-let-7d-prec,hsa-let-7d,Homo sapiens,yes,NA
hsa-let-7e-prec,hsa-let-7e,Homo sapiens,yes,NA
hsa-mir-009-2No2,hsa-miR-9*,Homo sapiens,yes,NA
hsa-mir-010a-precNo2,hsa-miR-10a*,Homo sapiens,yes,NA
hsa-mir-015a-2-precNo2,hsa-miR-15a*,Homo sapiens,yes,NA
hsa-mir-023b-prec,hsa-miR-23b,Homo sapiens,yes,NA
hsa-mir-025-prec,hsa-miR-25,Homo sapiens,yes,NA
hsa-mir-027a-prec,hsa-miR-27a,Homo sapiens,yes,NA
mmu-mir-138-1No1,mmu-miR-138,Mus musculus,yes,NA
mmu-let-7dNo1,mmu-let-7d,Mus musculus,yes,NA
mmu-mir-30c-2No1,mmu-miR-30c,Mus musculus,yes,NA
mmu-mir-196a-2No1,mmu-miR-196a,Mus musculus,yes,NA
mmu-mir-26a-2No1,mmu-miR-26a,Mus musculus,yes,NA
mmu-mir-96No1,mmu-miR-96,Mus musculus,yes,NA
mmu-mir-325No1,mmu-miR-325*,Mus musculus,yes,NA
mmu-mir-33No1,mmu-miR-33,Mus musculus,yes,NA
mmu-mir-181b-1No1,mmu-mir-181b-1,Mus musculus,no,NA
mmu-mir-7-2No1,mmu-miR-7a,Mus musculus,yes,NA
hsa-mir-100No1,hsa-miR-100,Homo sapiens,yes,NA
hsa-miR-126*No1,hsa-miR-126*,Homo sapiens,yes,NA
hsa-mir-135bNo1,hsa-miR-135b,Homo sapiens,yes,NA
hsa-mir-26a-2No1,hsa-miR-26a,Homo sapiens,yes,NA
hsa-miR-302c*No1,hsa-miR-302c*,Homo sapiens,yes,NA
hsa-mir-321No1,hsa-mir-321,Homo sapiens,no,NA
hsa-mir-106bNo2,hsa-miR-106b*,Homo sapiens,yes,NA
hsa-mir-135a-2No2,hsa-mir-135a-2,Homo sapiens,no,NA
hsa-mir-16-2No2,hsa-miR-16-2*,Homo sapiens,yes,NA
hsa-miR-302b*No2,hsa-miR-302b,Homo sapiens,yes,NA
hsa-mir-30eNo2,hsa-mir-30e,Homo sapiens,no,NA
hsa-mir-335No2,hsa-miR-335*,Homo sapiens,yes,NA
hsa-mir-519e,hsa-miR-519e*,Homo sapiens,yes,NA
hsa-mir-520bNo2,hsa-miR-519c-5p,Homo sapiens,yes,NA
hsa-mir-520d,hsa-mir-520d,Homo sapiens,no,NA
hsa-mir-523,hsa-miR-523,Homo sapiens,yes,NA
hsa-mir-525*,hsa-mir-525,Homo sapiens,no,NA
hsa-mir-526a-2No2,hsa-mir-516b-1,Homo sapiens,no,NA
mmu-mir-365-2No2,mmu-mir-365-2,Mus musculus,no,NA
mmu-mir-375No2,mmu-mir-375,Mus musculus,no,NA
mmu-mir-376bNo2,mmu-miR-376b*,Mus musculus,yes,NA
mmu-mir-409No2,mmu-mir-409,Mus musculus,no,NA
mmu-mir-411No2,mmu-miR-411,Mus musculus,yes,NA
mmu-mir-425No2,mmu-miR-425,Mus musculus,yes,NA
hsa-mir-186-prec,hsa-miR-186,Homo sapiens,yes,NA
hsa-mir-190-prec,hsa-miR-190,Homo sapiens,yes,NA
hsa-mir-193-precNo1,hsa-mir-193a,Homo sapiens,no,NA
hsa-mir-202-prec,hsa-miR-202,Homo sapiens,yes,NA
hsa-mir-204-precNo2,hsa-mir-204,Homo sapiens,no,NA
hsa-mir-208-prec,hsa-miR-208a,Homo sapiens,yes,NA
hsa-mir-218-2-precNo1,hsa-miR-218-2*,Homo sapiens,yes,NA
hsa-mir-221-prec,hsa-miR-221,Homo sapiens,yes,NA
hsa-mir-224-prec,hsa-miR-224,Homo sapiens,yes,NA
mmu-mir-099b-precNo2,mmu-miR-99b,Mus musculus,yes,NA
