Reporter Name,Reporter Database Entry [mirbase],Reporter Group [organism],Comment[Contains_Mature_MiRNA],Comment[SPOT_ID]
mmu-mir-122a-precNo2,mmu-miR-122,Mus musculus,yes,NA
mmu-mir-125a-prec,mmu-mir-125a,Mus musculus,no,NA
mmu-mir-29b-1No1,mmu-miR-29b,Mus musculus,yes,NA
mmu-mir-124a-2No1,mmu-mir-124-2,Mus musculus,no,NA
mmu-mir-130aNo1,mmu-miR-130a,Mus musculus,yes,NA
mmu-mir-291No1,mmu-mir-291a,Mus musculus,no,NA
mmu-mir-295No1,mmu-miR-295,Mus musculus,yes,NA
mmu-mir-323No1,mmu-mir-323,Mus musculus,no,NA
mmu-mir-329No1,mmu-miR-329,Mus musculus,yes,NA
mmu-mir-148bNo1,mmu-miR-148b,Mus musculus,yes,NA
mmu-mir-133bNo1,mmu-miR-133b,Mus musculus,yes,NA
hsa-mir-18bNo2,hsa-miR-18b*,Homo sapiens,yes,NA
hsa-mir-146bNo2,hsa-mir-146b,Homo sapiens,no,NA
hsa-mir-193bNo2,hsa-miR-193b*,Homo sapiens,yes,NA
hsa-mir-365-2No2,hsa-mir-365-2,Homo sapiens,no,NA
hsa-mir-376bNo1,hsa-miR-376b,Homo sapiens,yes,NA
hsa-mir-378No1,hsa-miR-378*,Homo sapiens,yes,NA
hsa-mir-412No1,hsa-miR-412,Homo sapiens,yes,NA
hsa-mir-423No1,hsa-mir-423,Homo sapiens,no,NA
hsa-mir-425No1,hsa-miR-425*,Homo sapiens,yes,NA
hsa-mir-450-2No2,hsa-mir-450a-2,Homo sapiens,no,NA
hsa-mir-452*,hsa-miR-452,Homo sapiens,yes,NA
hsa-mir-455No2,hsa-mir-455,Homo sapiens,no,NA
hsa-let-7g-precNo1,hsa-let-7g,Homo sapiens,yes,NA
hsa-mir-007-1-prec,hsa-miR-7,Homo sapiens,yes,NA
hsa-mir-007-3-precNo2,hsa-miR-7,Homo sapiens,yes,NA
hsa-mir-016b-chr3,hsa-miR-16,Homo sapiens,yes,NA
hsa-mir-019a-prec,hsa-miR-19a,Homo sapiens,yes,NA
hsa-mir-021-prec-17No1,hsa-miR-21,Homo sapiens,yes,NA
hsa-mir-029a-2No2,hsa-miR-29a*,Homo sapiens,yes,NA
hsa-mir-030b-precNo1,hsa-miR-30b,Homo sapiens,yes,NA
hsa-mir-030d-precNo2,hsa-miR-30d,Homo sapiens,yes,NA
mmu-mir-129-2No1,mmu-mir-129-2,Mus musculus,no,NA
mmu-mir-298No1,mmu-miR-298,Mus musculus,yes,NA
mmu-let-7c-1No1,mmu-let-7c,Mus musculus,yes,NA
mmu-let-7f-2No1,mmu-let-7f,Mus musculus,yes,NA
mmu-mir-18No1,mmu-mir-18a,Mus musculus,no,NA
mmu-mir-351No1,mmu-miR-351,Mus musculus,yes,NA
mmu-mir-218-1No1,mmu-mir-218-1,Mus musculus,no,NA
hsa-mir-181b-1No1,hsa-miR-181b,Homo sapiens,yes,NA
hsa-mir-194-2No1,hsa-miR-194,Homo sapiens,yes,NA
hsa-mir-21No1,hsa-miR-21,Homo sapiens,yes,NA
hsa-mir-339No1,hsa-mir-339,Homo sapiens,no,NA
hsa-mir-34bNo1,hsa-miR-34b*,Homo sapiens,yes,NA
hsa-let-7iNo2,hsa-let-7i*,Homo sapiens,yes,NA
hsa-mir-194-1No2,hsa-mir-194-1,Homo sapiens,no,NA
hsa-mir-196bNo2,hsa-mir-196b,Homo sapiens,no,NA
hsa-mir-26a-1No2,hsa-miR-26a-1*,Homo sapiens,yes,NA
hsa-mir-34aNo2,hsa-mir-34a,Homo sapiens,no,NA
hsa-mir-374No2,hsa-miR-374a*,Homo sapiens,yes,NA
hsa-mir-520fNo2,hsa-mir-520f,Homo sapiens,no,NA
hsa-mir-520hNo2,hsa-mir-520h,Homo sapiens,no,NA
hsa-mir-521-2No2,hsa-mir-521-2,Homo sapiens,no,NA
hsa-mir-527No2,hsa-mir-527,Homo sapiens,no,NA
mmu-mir-297-2No2,mmu-mir-297a-2,Mus musculus,no,NA
mmu-mir-363No2,mmu-mir-363,Mus musculus,no,NA
mmu-mir-378No2,mmu-miR-378,Mus musculus,yes,NA
mmu-mir-3803p,mmu-miR-380-3p,Mus musculus,yes,NA
mmu-mir-383No1,mmu-miR-383,Mus musculus,yes,NA
mmu-mir-431No2,mmu-miR-431*,Mus musculus,yes,NA
mmu-mir-4343p,mmu-mir-434,Mus musculus,no,NA
mmu-mir-449No2,mmu-mir-449a,Mus musculus,no,NA
hsa_mir_490_Hcd20 right,hsa-miR-490-3p,Homo sapiens,yes,NA
hsa-mir-195-prec,hsa-miR-195,Homo sapiens,yes,NA
hsa-mir-196-2-precNo2,hsa-miR-196a,Homo sapiens,yes,NA
hsa-mir-199a-2-prec,hsa-mir-199a-2,Homo sapiens,no,NA
hsa-mir-212-precNo1,hsa-miR-212,Homo sapiens,yes,NA
hsa-mir-214-prec,hsa-miR-214,Homo sapiens,yes,NA
hsa-mir-216-precNo2,hsa-miR-216a,Homo sapiens,yes,NA
mmu-mir-001b-prec,mmu-mir-1,Mus musculus,yes,NA
mmu-mir-010b-prec,mmu-miR-10b,Mus musculus,yes,NA
mmu-mir-030b-prec,mmu-miR-30b,Mus musculus,yes,NA
mmu-mir-128-precNo1,mmu-miR-128,Mus musculus,yes,NA
mmu-mir-130-prec,mmu-miR-130a,Mus musculus,yes,NA
mmu-mir-134-precNo1,mmu-mir-134,Mus musculus,no,NA
mmu-mir-133a-1No1,mmu-miR-133a,Mus musculus,yes,NA
mmu-mir-194-1No1,mmu-mir-194-1,Mus musculus,no,NA
mmu-mir-148aNo1,mmu-miR-148a,Mus musculus,yes,NA
mmu-mir-29aNo1,mmu-miR-29a,Mus musculus,yes,NA
mmu-mir-92-2No1,mmu-miR-92a,Mus musculus,yes,NA
mmu-mir-342No1,mmu-mir-342,Mus musculus,no,NA
mmu-mir-107No1,mmu-miR-107,Mus musculus,yes,NA
mmu-mir-200cNo1,mmu-miR-200c,Mus musculus,yes,NA
hsa-mir-329-1No2,hsa-mir-329-1,Homo sapiens,no,NA
hsa-mir-361No2,hsa-miR-361-3p,Homo sapiens,yes,NA
hsa-mir-363No2,hsa-miR-363*,Homo sapiens,yes,NA
hsa-mir-380-5p,hsa-miR-380*,Homo sapiens,yes,NA
hsa-mir-382,hsa-miR-382,Homo sapiens,yes,NA
hsa-mir-409-5p,hsa-miR-409-5p,Homo sapiens,yes,NA
hsa-mir-431No1,hsa-miR-431,Homo sapiens,yes,NA
hsa-mir-433No1,hsa-miR-433,Homo sapiens,yes,NA
hsa-mir-449No1,hsa-miR-449a,Homo sapiens,yes,NA
hsa-mir-485-5p,hsa-mir-485,Homo sapiens,no,NA
hsa-mir-487No2,hsa-mir-487a,Homo sapiens,no,NA
hsa-mir-489No2,hsa-mir-489,Homo sapiens,no,NA
hsa-mir-032-precNo2,hsa-miR-32,Homo sapiens,yes,NA
hsa-mir-034-precNo2,hsa-miR-34a*,Homo sapiens,yes,NA
hsa-mir-093-prec-7.1=093-1,hsa-miR-93,Homo sapiens,yes,NA
hsa-mir-106-prec-X,hsa-miR-106a,Homo sapiens,yes,NA
hsa-mir-123-precNo2,hsa-miR-126,Homo sapiens,yes,NA
hsa-mir-125a-precNo1,hsa-mir-125a,Homo sapiens,no,NA
hsa-mir-133a-1,hsa-miR-133a,Homo sapiens,yes,NA
hsa-mir-135-1-prec,hsa-miR-135a,Homo sapiens,yes,NA
hsa-mir-137-prec,hsa-miR-137,Homo sapiens,yes,NA
hsa-mir-149-prec,hsa-miR-149,Homo sapiens,yes,NA
hsa-mir-152-precNo2,hsa-mir-152,Homo sapiens,no,NA
hsa-mir-154-prec1No1,hsa-miR-154,Homo sapiens,yes,NA
mmu-mir-15bNo2,mmu-miR-15b*,Mus musculus,yes,NA
mmu-mir-135a-2No2,mmu-mir-135a-2,Mus musculus,no,NA
mmu-mir-34bNo2,mmu-mir-34b,Mus musculus,no,NA
mmu-mir-30c-1No2,mmu-miR-30c-1*,Mus musculus,yes,NA
mmu-mir-196a-1No2,mmu-mir-196a-1,Mus musculus,no,NA
mmu-mir-26a-1No2,mmu-mir-26a-1,Mus musculus,no,NA
mmu-mir-93No2,mmu-miR-93*,Mus musculus,yes,NA
mmu-mir-321No2,mmu-mir-321,Mus musculus,no,NA
mmu-mir-7-1No2,mmu-miR-7a*,Mus musculus,yes,NA
hsa-mir-101-1No1,hsa-miR-101,Homo sapiens,yes,NA
hsa-mir-1-2No1,hsa-miR-1,Homo sapiens,yes,NA
hsa-mir-148aNo1,hsa-miR-148a,Homo sapiens,yes,NA
hsa-mir-331No1,hsa-mir-331,Homo sapiens,no,NA
hsa-mir-342No1,hsa-mir-342,Homo sapiens,no,NA
hsa-mir-370No1,hsa-miR-370,Homo sapiens,yes,NA
hsa-mir-29b-1No2,hsa-miR-29b-1*,Homo sapiens,yes,NA
hsa-mir-302cNo2,hsa-miR-302c*,Homo sapiens,yes,NA
hsa-mir-324No2,hsa-mir-324,Homo sapiens,no,NA
mmu-mir-451No2,mmu-miR-451,Mus musculus,yes,NA
mmu-mir-463No2,mmu-miR-463,Mus musculus,yes,NA
mmu-mir-465No2,mmu-miR-465a-3p,Mus musculus,yes,NA
mmu-mir-136-prec,mmu-miR-136,Mus musculus,yes,NA
mmu-mir-141-prec,mmu-miR-141,Mus musculus,yes,NA
mmu-mir-145-prec,mmu-miR-145,Mus musculus,yes,NA
mmu-mir-187-prec,mmu-miR-187,Mus musculus,yes,NA
mmu-mir-191-prec,mmu-miR-191,Mus musculus,yes,NA
mmu-mir-195-prec,mmu-miR-195,Mus musculus,yes,NA
mmu-mir-214-prec,mmu-miR-214,Mus musculus,yes,NA
mmu-mir-217-precNo1,mmu-miR-217,Mus musculus,yes,NA
mmu-mir-219-precNo1,mmu-miR-219,Mus musculus,yes,NA
mmu-mir-1-1No2,mmu-mir-1-1,Mus musculus,no,NA
mmu-mir-124a-1No2,mmu-miR-124*,Mus musculus,yes,NA
mmu-mir-128aNo2,mmu-mir-128-1,Mus musculus,no,NA
mmu-mir-200bNo2,mmu-miR-200b*,Mus musculus,yes,NA
mmu-mir-294No2,mmu-miR-294*,Mus musculus,yes,NA
mmu-mir-302No2,mmu-miR-302a*,Mus musculus,yes,NA
mmu-mir-322No2,mmu-miR-322,Mus musculus,yes,NA
mmu-mir-328No2,mmu-mir-328,Mus musculus,no,NA
mmu-mir-337No2,mmu-mir-337,Mus musculus,no,NA
mmu-mir-128bNo2,mmu-mir-128-2,Mus musculus,no,NA
hsa-mir-491No1,hsa-mir-491,Homo sapiens,no,NA
hsa-mir-493No1,hsa-miR-493*,Homo sapiens,yes,NA
hsa-mir-495No1,hsa-miR-495,Homo sapiens,yes,NA
hsa-mir-503No1,hsa-miR-503,Homo sapiens,yes,NA
hsa-mir-505No1,hsa-miR-505,Homo sapiens,yes,NA
hsa-mir-507No1,hsa-miR-507,Homo sapiens,yes,NA
hsa-mir-513-2No1,hsa-mir-513a-2,Homo sapiens,no,NA
hsa-mir-514-2&3No1,hsa-miR-514,Homo sapiens,yes,NA
hsa-mir-515-25p,hsa-miR-515-5p,Homo sapiens,yes,NA
hsa-mir-518a-1*,hsa-miR-527,Homo sapiens,yes,NA
hsa-mir-518bNo1,hsa-miR-518b,Homo sapiens,yes,NA
hsa-mir-518d/526a,hsa-mir-518d,Homo sapiens,no,NA
hsa-mir-098-prec-X,hsa-miR-98,Homo sapiens,yes,NA
hsa-mir-100-1/2-prec,hsa-miR-100,Homo sapiens,yes,NA
hsa-mir-102-prec-1,hsa-miR-29b,Homo sapiens,yes,NA
hsa-mir-125b-2-precNo2,hsa-miR-125b,Homo sapiens,yes,NA
hsa-mir-128b-precNo1,hsa-miR-128,Homo sapiens,yes,NA
hsa-mir-130a-precNo1,hsa-miR-130a*,Homo sapiens,yes,NA
hsa-mir-140No1,hsa-mir-140,Homo sapiens,no,NA
hsa-mir-142-prec,hsa-mir-142,Homo sapiens,no,NA
hsa-mir-145-prec,hsa-miR-145,Homo sapiens,yes,NA
hsa-mir-181a-precNo2,hsa-miR-181a-2*,Homo sapiens,yes,NA
hsa-mir-181c-precNo2,hsa-mir-181c,Homo sapiens,no,NA
hsa-mir-183-precNo2,hsa-miR-183*,Homo sapiens,yes,NA
mmu-mir-129-1No2,mmu-mir-129-1,Mus musculus,no,NA
mmu-mir-290No2,mmu-mir-290,Mus musculus,no,NA
mmu-mir-297-1No2,mmu-mir-297a-1,Mus musculus,no,NA
mmu-let-7bNo2,mmu-let-7b*,Mus musculus,yes,NA
mmu-let-7f-1No2,mmu-let-7f*,Mus musculus,yes,NA
mmu-mir-16-2No2,mmu-mir-16-2,Mus musculus,no,NA
mmu-mir-346No2,mmu-mir-346,Mus musculus,no,NA
mmu-mir-10a-2No2,mmu-mir-10a,Mus musculus,no,NA
mmu-mir-139No2,mmu-mir-139,Mus musculus,no,NA
mmu-mir-196bNo2,mmu-mir-196b,Mus musculus,no,NA
hsa-mir-29b-1No1,hsa-miR-29b,Homo sapiens,yes,NA
hsa-mir-302cNo1,hsa-miR-302c,Homo sapiens,yes,NA
hsa-mir-324No1,hsa-mir-324,Homo sapiens,no,NA
hsa-mir-101-1No2,hsa-miR-101*,Homo sapiens,yes,NA
hsa-mir-1-2No2,hsa-mir-1-2,Homo sapiens,no,NA
hsa-mir-148aNo2,hsa-miR-148a*,Homo sapiens,yes,NA
hsa-mir-331No2,hsa-mir-331,Homo sapiens,no,NA
hsa-mir-342No2,hsa-mir-342,Homo sapiens,no,NA
hsa-mir-370No2,hsa-mir-370,Homo sapiens,no,NA
mmu-mir-467No2,mmu-miR-467a,Mus musculus,yes,NA
mmu-mir-470No1,mmu-miR-470,Mus musculus,yes,NA
mmu-mir-483No1,mmu-miR-483*,Mus musculus,yes,NA
mmu-mir-151-prec,mmu-miR-151-3p,Mus musculus,yes,NA
mmu-mir-155-prec,mmu-miR-155,Mus musculus,yes,NA
mmu-mir-183-precNo2,mmu-miR-183,Mus musculus,yes,NA
mmu-mir-200a-precNo2,mmu-miR-200b*,Mus musculus,yes,NA
mmu-mir-203-precNo2,mmu-miR-203,Mus musculus,yes,NA
mmu-mir-207-prec,mmu-miR-207,Mus musculus,yes,NA
mmu-mir-222-prec,mmu-miR-222,Mus musculus,yes,NA
mmu-mir-24-2No2,mmu-miR-24-2*,Mus musculus,yes,NA
mmu-mir-19b-2No2,mmu-mir-19b-2,Mus musculus,no,NA
mmu-mir-23aNo2,mmu-mir-23a,Mus musculus,no,NA
mmu-mir-92-1No2,mmu-mir-92a-1,Mus musculus,no,NA
mmu-mir-341No2,mmu-mir-341,Mus musculus,no,NA
mmu-mir-101bNo2,mmu-mir-101b,Mus musculus,no,NA
mmu-mir-25No2,mmu-mir-25,Mus musculus,no,NA
hsa-mir-497No1,hsa-miR-497,Homo sapiens,yes,NA
hsa-mir-499No1,hsa-mir-499,Homo sapiens,no,NA
hsa-mir-501No1,hsa-miR-501-5p,Homo sapiens,yes,NA
hsa-mir-509No1,hsa-mir-509-3,Homo sapiens,no,NA
hsa-mir-511-1No1,hsa-miR-511,Homo sapiens,yes,NA
hsa-mir-512-1&25p,hsa-mir-512-2,Homo sapiens,no,NA
hsa-mir-516-2No1,hsa-mir-516a-2,Homo sapiens,no,NA
hsa-mir-516-45p,hsa-miR-516b,Homo sapiens,yes,NA
hsa-mir-517b*,hsa-miR-517*,Homo sapiens,yes,NA
hsa-mir-518f*,hsa-miR-518f*,Homo sapiens,yes,NA
hsa-mir-519a-2No1,hsa-miR-519a,Homo sapiens,yes,NA
hsa-mir-519c/526c,hsa-mir-519c,Homo sapiens,no,NA
hsa-let-7a-2-precNo1,hsa-let-7a-2,Homo sapiens,no,NA
hsa-let-7c-prec,hsa-let-7c,Homo sapiens,yes,NA
hsa-let-7d-v2-precNo2,hsa-let-7i,Homo sapiens,yes,NA
hsa-mir-009-2No1,hsa-miR-9,Homo sapiens,yes,NA
hsa-mir-010a-precNo1,hsa-miR-10a,Homo sapiens,yes,NA
hsa-mir-015a-2-precNo1,hsa-miR-15a,Homo sapiens,yes,NA
hsa-mir-023a-prec,hsa-miR-23a,Homo sapiens,yes,NA
hsa-mir-024-2-prec,hsa-miR-24,Homo sapiens,yes,NA
hsa-mir-026b-prec,hsa-miR-26b,Homo sapiens,yes,NA
mmu-mir-15bNo1,mmu-mir-15b,Mus musculus,no,NA
mmu-mir-135a-2No1,mmu-miR-135a,Mus musculus,yes,NA
mmu-mir-34bNo1,mmu-mir-34b,Mus musculus,no,NA
mmu-mir-30c-1No1,mmu-miR-30c,Mus musculus,yes,NA
mmu-mir-196a-1No1,mmu-miR-196a,Mus musculus,yes,NA
mmu-mir-26a-1No1,mmu-miR-26a,Mus musculus,yes,NA
mmu-mir-93No1,mmu-miR-93,Mus musculus,yes,NA
mmu-mir-321No1,mmu-mir-321,Mus musculus,no,NA
mmu-mir-7-1No1,mmu-mir-7a-1,Mus musculus,no,NA
hsa-let-7iNo1,hsa-let-7i,Homo sapiens,yes,NA
hsa-mir-106bNo1,hsa-miR-106b,Homo sapiens,yes,NA
hsa-mir-135a-2No1,hsa-miR-135a,Homo sapiens,yes,NA
hsa-mir-26a-1No1,hsa-miR-26a,Homo sapiens,yes,NA
hsa-miR-302b*No1,hsa-miR-302b*,Homo sapiens,yes,NA
hsa-mir-30eNo1,hsa-miR-30e,Homo sapiens,yes,NA
hsa-mir-106aNo2,hsa-miR-106a*,Homo sapiens,yes,NA
hsa-mir-135a-1No2,hsa-miR-135a*,Homo sapiens,yes,NA
hsa-mir-16-1No2,hsa-miR-16-1*,Homo sapiens,yes,NA
hsa-mir-299No2,hsa-mir-299,Homo sapiens,no,NA
hsa-mir-30c-2No2,hsa-miR-30c-2*,Homo sapiens,yes,NA
hsa-mir-325No2,hsa-mir-325,Homo sapiens,no,NA
hsa-mir-519e*,hsa-miR-519e*,Homo sapiens,yes,NA
hsa-mir-520bNo1,hsa-miR-520b,Homo sapiens,yes,NA
hsa-mir-520d*,hsa-mir-520d,Homo sapiens,no,NA
hsa-mir-523/526c,hsa-miR-523*,Homo sapiens,yes,NA
hsa-mir-525,hsa-mir-525,Homo sapiens,no,NA
hsa-mir-526a-2No1,hsa-miR-526a,Homo sapiens,yes,NA
mmu-mir-365-2No1,mmu-miR-365,Mus musculus,yes,NA
mmu-mir-375No1,hsa-miR-375,Homo sapiens,yes,NA
mmu-mir-376bNo1,mmu-miR-376b,Mus musculus,yes,NA
mmu-mir-409No1,mmu-miR-409-3p,Mus musculus,yes,NA
mmu-mir-411No1,mmu-miR-411*,Mus musculus,yes,NA
mmu-mir-425No1,mmu-miR-425*,Mus musculus,yes,NA
hsa-mir-185-precNo2,hsa-miR-185*,Homo sapiens,yes,NA
hsa-mir-188-prec,hsa-mir-188,Homo sapiens,no,NA
hsa-mir-192-2/3No2,hsa-mir-192,Homo sapiens,no,NA
hsa-mir-200a-prec,hsa-miR-200b,Homo sapiens,yes,NA
hsa-mir-204-precNo1,hsa-miR-204,Homo sapiens,yes,NA
hsa-mir-206-precNo2,hsa-mir-206,Homo sapiens,no,NA
hsa-mir-218-1-prec,hsa-miR-218,Homo sapiens,yes,NA
hsa-mir-220-prec,hsa-miR-220a,Homo sapiens,yes,NA
hsa-mir-223-prec,hsa-miR-223,Homo sapiens,yes,NA
mmu-mir-099b-precNo1,mmu-miR-99b*,Mus musculus,yes,NA
mmu-mir-122a-precNo1,mmu-mir-122,Mus musculus,no,NA
mmu-mir-124a-prec,mmu-miR-124,Mus musculus,yes,NA
mmu-mir-1-1No1,mmu-miR-1,Mus musculus,yes,NA
mmu-mir-124a-1No1,mmu-miR-124,Mus musculus,yes,NA
mmu-mir-128aNo1,mmu-miR-128,Mus musculus,yes,NA
mmu-mir-200bNo1,mmu-miR-200b,Mus musculus,yes,NA
mmu-mir-294No1,mmu-miR-294,Mus musculus,yes,NA
mmu-mir-302No1,mmu-miR-302a,Mus musculus,yes,NA
mmu-mir-322No1,mmu-miR-322*,Mus musculus,yes,NA
mmu-mir-328No1,mmu-miR-328,Mus musculus,yes,NA
mmu-mir-337No1,mmu-mir-337,Mus musculus,no,NA
mmu-mir-128bNo1,mmu-miR-128,Mus musculus,yes,NA
hsa-mir-18bNo1,hsa-miR-18b,Homo sapiens,yes,NA
hsa-mir-146bNo1,hsa-miR-146b-5p,Homo sapiens,yes,NA
hsa-mir-193bNo1,hsa-miR-193b,Homo sapiens,yes,NA
hsa-mir-365-2No1,hsa-miR-365,Homo sapiens,yes,NA
hsa-mir-376aNo2,hsa-miR-376a*,Homo sapiens,yes,NA
hsa-mir-377No2,hsa-miR-377*,Homo sapiens,yes,NA
hsa-mir-410No2,hsa-mir-410,Homo sapiens,no,NA
hsa-mir-422aNo2,hsa-mir-422a,Homo sapiens,no,NA
hsa-mir-424No2,hsa-miR-424*,Homo sapiens,yes,NA
hsa-mir-450-2No1,hsa-miR-450a,Homo sapiens,yes,NA
hsa-mir-452,hsa-miR-452,Homo sapiens,yes,NA
hsa-mir-455No1,hsa-mir-455,Homo sapiens,no,NA
hsa-let-7f-2-prec2,hsa-let-7f,Homo sapiens,yes,NA
hsa-mir-001b-2-prec,hsa-miR-1,Homo sapiens,yes,NA
hsa-mir-007-3-precNo1,hsa-mir-7-3,Homo sapiens,no,NA
hsa-mir-016a-chr13,hsa-miR-16,Homo sapiens,yes,NA
hsa-mir-018-prec,hsa-miR-18a,Homo sapiens,yes,NA
hsa-mir-020-prec,hsa-miR-20a,Homo sapiens,yes,NA
hsa-mir-029a-2No1,hsa-miR-29a,Homo sapiens,yes,NA
hsa-mir-030a-precNo2,hsa-miR-30a*,Homo sapiens,yes,NA
hsa-mir-030d-precNo1,hsa-miR-30d*,Homo sapiens,yes,NA
mmu-mir-129-1No1,mmu-mir-129-1,Mus musculus,no,NA
mmu-mir-290No1,mmu-miR-290-5p,Mus musculus,yes,NA
mmu-mir-297-1No1,mmu-miR-297a,Mus musculus,yes,NA
mmu-let-7bNo1,mmu-let-7b,Mus musculus,yes,NA
mmu-let-7f-1No1,mmu-let-7f,Mus musculus,yes,NA
mmu-mir-16-2No1,mmu-miR-16,Mus musculus,yes,NA
mmu-mir-346No1,mmu-miR-346,Mus musculus,yes,NA
mmu-mir-10a-2No1,mmu-mir-10a,Mus musculus,no,NA
mmu-mir-139No1,mmu-mir-139,Mus musculus,no,NA
mmu-mir-196bNo1,mmu-miR-196b,Mus musculus,yes,NA
hsa-mir-16-2No1,hsa-miR-16,Homo sapiens,yes,NA
hsa-mir-194-1No1,hsa-miR-194,Homo sapiens,yes,NA
hsa-mir-196bNo1,hsa-miR-196b,Homo sapiens,yes,NA
hsa-mir-335No1,hsa-miR-335,Homo sapiens,yes,NA
hsa-mir-34aNo1,hsa-miR-34a,Homo sapiens,yes,NA
hsa-mir-374No1,hsa-miR-374a,Homo sapiens,yes,NA
hsa-mir-192No2,hsa-mir-192,Homo sapiens,no,NA
hsa-mir-196a-2No2,hsa-mir-196a-2,Homo sapiens,no,NA
hsa-mir-219-2No2,hsa-mir-219-2,Homo sapiens,no,NA
hsa-mir-346No2,hsa-mir-346,Homo sapiens,no,NA
hsa-miR-373*No2,hsa-miR-373,Homo sapiens,yes,NA
mmu-mir-486No2,mmu-mir-486,Mus musculus,no,NA
hsa-mir-520fNo1,hsa-miR-520f,Homo sapiens,yes,NA
hsa-mir-520hNo1,hsa-miR-520h,Homo sapiens,yes,NA
hsa-mir-521-2No1,hsa-miR-521,Homo sapiens,yes,NA
hsa-mir-527No1,hsa-miR-527,Homo sapiens,yes,NA
mmu-mir-297-2No1,mmu-miR-297a,Mus musculus,yes,NA
mmu-mir-363No1,mmu-miR-363,Mus musculus,yes,NA
mmu-mir-378No1,hsa-miR-378*,Homo sapiens,yes,NA
mmu-mir-3805p,mmu-miR-380-5p,Mus musculus,yes,NA
mmu-mir-382,hsa-miR-382,Homo sapiens,yes,NA
mmu-mir-431No1,mmu-miR-431,Mus musculus,yes,NA
mmu-mir-4345p,mmu-mir-434,Mus musculus,no,NA
mmu-mir-449No1,mmu-miR-449a,Mus musculus,yes,NA
hsa-mir-194-precNo2,hsa-mir-194-1,Homo sapiens,no,NA
hsa-mir-196-2-precNo1,hsa-mir-196a-2,Homo sapiens,no,NA
hsa-mir-199a-1-prec,hsa-mir-199a-1,Homo sapiens,no,NA
hsa-mir-211-precNo2,hsa-mir-211,Homo sapiens,no,NA
hsa-mir-213-precNo2,hsa-mir-181b-1,Homo sapiens,no,NA
hsa-mir-216-precNo1,hsa-mir-216a,Homo sapiens,no,NA
mmu-let-7i-prec,mmu-let-7i,Mus musculus,yes,NA
mmu-mir-009-precNo2,mmu-miR-9*,Mus musculus,yes,NA
mmu-mir-029b-prec,mmu-miR-29b,Mus musculus,yes,NA
mmu-mir-127-prec,mmu-miR-127,Mus musculus,yes,NA
mmu-mir-129-prec,mmu-miR-129-5p,Mus musculus,yes,NA
mmu-mir-133-prec,mmu-miR-133a,Mus musculus,yes,NA
mmu-mir-24-2No1,mmu-mir-24-2,Mus musculus,no,NA
mmu-mir-19b-2No1,mmu-miR-19b,Mus musculus,yes,NA
mmu-mir-23aNo1,mmu-miR-23a,Mus musculus,yes,NA
mmu-mir-92-1No1,mmu-miR-92a,Mus musculus,yes,NA
mmu-mir-341No1,mmu-miR-341,Mus musculus,yes,NA
mmu-mir-101bNo1,mmu-miR-101b,Mus musculus,yes,NA
mmu-mir-25No1,mmu-miR-25,Mus musculus,yes,NA
hsa-mir-329-1No1,hsa-miR-329,Homo sapiens,yes,NA
hsa-mir-361No1,hsa-miR-361-5p,Homo sapiens,yes,NA
hsa-mir-363No1,hsa-miR-363,Homo sapiens,yes,NA
hsa-mir-379No2,hsa-miR-379*,Homo sapiens,yes,NA
hsa-mir-381No2,hsa-mir-381,Homo sapiens,no,NA
hsa-mir-384,hsa-miR-384,Homo sapiens,yes,NA
hsa-mir-429No2,hsa-mir-429,Homo sapiens,no,NA
hsa-mir-4323p,hsa-miR-432*,Homo sapiens,yes,NA
hsa-mir-448No2,hsa-mir-448,Homo sapiens,no,NA
hsa-mir-484,hsa-miR-484,Homo sapiens,yes,NA
hsa-mir-487No1,hsa-miR-487a,Homo sapiens,yes,NA
hsa-mir-489No1,hsa-miR-489,Homo sapiens,yes,NA
